Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional,Temporada,id,Player_Temporada,Salario
242,Robert Covington,28,MIN,SF,22,22,763,14.7,0.58,0.604,0.269,2.9,14.9,8.8,5.8,3.1,2.7,8.4,16.5,0.9,0.9,1.8,0.114,0.1,2.1,2.2,0.8,0,covinro01,2018,203496,Robert Covington - 2018,10464092.0
244,Will Barton,28,DEN,SF,43,38,1189,11.0,0.501,0.426,0.161,2.9,15.3,9.1,14.6,0.7,1.6,11.7,20.0,0.1,1.1,1.2,0.049,-1.1,-0.8,-1.8,0.0,0,bartowi01,2018,203115,Will Barton - 2018,11830358.0
255,Trey Burke,26,2TM,PG,58,8,1125,16.5,0.524,0.29,0.226,2.6,6.7,4.6,24.1,1.4,0.5,7.5,24.8,1.4,0.5,1.9,0.081,1.5,-1.4,0.1,0.6,0,burketr01,2018,203504,Trey Burke - 2018,1795015.0
255,Trey Burke,26,NYK,PG,33,7,689,15.6,0.496,0.24,0.209,2.2,7.3,4.7,23.6,1.5,0.6,6.9,26.1,0.4,0.2,0.6,0.044,0.9,-1.5,-0.6,0.2,0,burketr01,2018,203504,Trey Burke - 2018,1795015.0
255,Trey Burke,26,DAL,PG,25,1,436,17.9,0.574,0.384,0.258,3.2,5.9,4.5,24.7,1.3,0.4,8.6,22.8,1.0,0.3,1.3,0.14,2.3,-1.2,1.2,0.3,0,burketr01,2018,203504,Trey Burke - 2018,1795015.0
257,Trey Lyles,23,DEN,PF,64,2,1120,12.7,0.5,0.404,0.234,4.2,19.6,11.9,11.3,1.3,1.8,11.1,23.4,-0.2,1.4,1.2,0.05,-1.8,-0.7,-2.4,-0.1,0,lylestr01,2018,1626168,Trey Lyles - 2018,3364249.0
263,Anthony Tolliver,33,MIN,PF,65,0,1079,8.6,0.571,0.83,0.232,1.5,16.2,8.8,5.5,0.8,1.7,11.2,12.5,0.6,0.5,1.2,0.052,-1.7,-0.7,-2.4,-0.1,0,tollian01,2018,201229,Anthony Tolliver - 2018,5750000.0
270,Nerlens Noel,24,OKC,C,77,2,1055,19.3,0.608,0.0,0.286,12.1,20.0,15.9,5.9,2.9,7.7,13.4,13.8,1.9,2.5,4.3,0.198,-1.2,3.3,2.1,1.1,0,noelne01,2018,203457,Nerlens Noel - 2018,1757429.0
273,Gorgui Dieng,29,MIN,C,76,2,1031,18.1,0.572,0.149,0.281,8.3,24.1,16.1,10.3,2.2,3.4,11.9,19.6,1.5,1.3,2.8,0.132,-0.3,0.9,0.6,0.7,0,dienggo01,2018,203476,Gorgui Dieng - 2018,15170787.0
289,Daniel Theis,26,BOS,C,66,2,908,17.1,0.624,0.252,0.286,10.2,16.2,13.2,10.5,1.1,4.1,9.9,15.8,2.3,1.2,3.5,0.185,-0.8,0.9,0.0,0.5,0,theisda01,2018,1628464,Daniel Theis - 2018,1378242.0
