Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional,Temporada,full_name,id
280.0,Abdel Nader,26.0,OKC,SF,55.0,6.0,867.0,11.3,0.591,0.487,0.251,1.8,10.6,6.4,6.4,1.3,2.0,12.8,17.0,0.5,0.9,1.3,0.074,-1.2,0.2,-1.0,0.2,,naderab01,2019,Abdel Nader,1627846.0
283.0,Damyean Dotson,25.0,NYK,SG,48.0,0.0,836.0,10.9,0.527,0.562,0.114,1.2,10.6,5.8,10.0,1.3,0.5,6.5,16.5,0.6,0.4,0.9,0.053,-0.9,-0.5,-1.4,0.1,,dotsoda01,2019,Damyean Dotson,1628422.0
286.0,Juancho Hernangómez,24.0,2TM,PF,48.0,14.0,833.0,10.4,0.518,0.522,0.287,5.6,20.5,12.8,6.6,1.1,1.0,10.3,15.7,0.2,0.7,0.9,0.052,-2.2,-1.1,-3.4,-0.3,,hernaju01,2019,,
286.0,Juancho Hernangómez,24.0,DEN,PF,34.0,0.0,422.0,6.9,0.442,0.545,0.227,6.4,18.8,12.6,6.7,0.6,1.1,12.9,14.3,-0.2,0.3,0.1,0.007,-4.0,-1.2,-5.2,-0.3,,hernaju01,2019,,
286.0,Juancho Hernangómez,24.0,MIN,PF,14.0,14.0,411.0,14.1,0.576,0.504,0.336,4.7,22.1,13.1,6.4,1.6,0.8,8.2,17.1,0.5,0.4,0.8,0.098,-0.4,-1.0,-1.5,0.1,,hernaju01,2019,,
289.0,Luguentz Dort,20.0,OKC,SF,36.0,28.0,820.0,7.6,0.506,0.463,0.243,3.3,7.5,5.5,4.6,1.8,0.4,8.4,14.1,0.1,0.8,0.8,0.049,-4.1,0.4,-3.7,-0.4,,dortlu01,2019,Luguentz Dort,1629652.0
294.0,Jordan McRae,28.0,3TM,SG,37.0,4.0,784.0,14.2,0.515,0.344,0.298,2.4,15.4,8.7,17.9,1.3,1.8,9.4,24.4,0.4,0.4,0.7,0.044,0.0,-1.5,-1.5,0.1,,mcraejo01,2019,Jordan McRae,203895.0
294.0,Jordan McRae,28.0,WAS,SG,29.0,4.0,654.0,15.2,0.523,0.334,0.262,2.7,15.1,8.7,19.1,1.4,2.0,9.7,24.9,0.4,0.3,0.7,0.051,0.8,-1.2,-0.4,0.3,,mcraejo01,2019,Jordan McRae,203895.0
294.0,Jordan McRae,28.0,DEN,SG,4.0,0.0,32.0,16.7,0.58,0.667,0.667,3.5,14.0,8.8,15.6,3.1,2.9,0.0,10.5,0.1,0.0,0.1,0.201,1.1,1.4,2.5,0.0,,mcraejo01,2019,Jordan McRae,203895.0
294.0,Jordan McRae,28.0,DET,SG,4.0,0.0,98.0,6.5,0.446,0.372,0.512,0.0,17.6,8.7,10.7,0.0,0.0,8.7,25.7,-0.1,0.0,-0.1,-0.053,-5.6,-4.2,-9.8,-0.2,,mcraejo01,2019,Jordan McRae,203895.0
301.0,Keita Bates-Diop,24.0,2TM,SF,44.0,0.0,744.0,12.4,0.539,0.44,0.321,3.5,15.1,9.1,5.8,1.2,2.7,6.0,15.8,0.6,0.6,1.2,0.078,-1.0,-0.4,-1.4,0.1,,bateske01,2019,Keita Bates-Diop,1628966.0
301.0,Keita Bates-Diop,24.0,MIN,PF,37.0,0.0,646.0,12.5,0.535,0.456,0.316,3.3,15.1,9.0,6.7,1.2,2.6,5.6,15.8,0.6,0.5,1.0,0.077,-0.8,-0.1,-0.9,0.2,,bateske01,2019,Keita Bates-Diop,1628966.0
301.0,Keita Bates-Diop,24.0,DEN,SF,7.0,0.0,98.0,12.1,0.571,0.321,0.357,4.6,14.8,9.7,0.0,1.0,3.8,8.5,15.7,0.1,0.1,0.2,0.084,-2.2,-2.8,-5.0,-0.1,,bateske01,2019,Keita Bates-Diop,1628966.0
309.0,Reggie Bullock,28.0,NYK,SG,29.0,19.0,684.0,9.3,0.502,0.496,0.094,2.0,8.8,5.3,8.8,1.8,0.4,7.5,15.6,0.2,0.3,0.5,0.036,-2.8,-0.3,-3.0,-0.2,,bullore01,2019,Reggie Bullock,203493.0
316.0,Allen Crabbe,27.0,2TM,SG,37.0,1.0,653.0,6.0,0.47,0.672,0.079,1.8,11.0,6.3,6.8,1.1,0.5,8.5,12.7,-0.2,0.2,-0.1,-0.007,-3.7,-1.5,-5.3,-0.5,,crabbal01,2019,Allen Crabbe,203459.0
316.0,Allen Crabbe,27.0,ATL,SG,28.0,1.0,522.0,7.2,0.482,0.65,0.084,2.0,11.5,6.7,7.3,1.3,0.6,7.5,12.7,-0.1,0.1,0.1,0.009,-3.1,-1.1,-4.1,-0.3,,crabbal01,2019,Allen Crabbe,203459.0
316.0,Allen Crabbe,27.0,MIN,SF,9.0,0.0,131.0,1.1,0.416,0.765,0.059,0.8,9.2,4.8,5.1,0.0,0.0,12.5,12.5,-0.2,0.0,-0.2,-0.068,-6.4,-3.3,-9.7,-0.3,,crabbal01,2019,Allen Crabbe,203459.0
318.0,James Johnson,32.0,2TM,PF,32.0,1.0,619.0,14.8,0.572,0.423,0.223,4.3,16.3,10.3,18.4,1.9,4.6,16.9,19.4,0.3,0.8,1.1,0.089,-1.1,1.2,0.0,0.3,,johnsja01,2019,James Johnson,201949.0
318.0,James Johnson,32.0,MIA,PF,18.0,0.0,281.0,11.1,0.547,0.517,0.161,3.3,16.9,10.4,11.1,1.0,4.6,13.9,17.0,0.0,0.4,0.4,0.065,-2.6,0.8,-1.8,0.0,,johnsja01,2019,James Johnson,201949.0
318.0,James Johnson,32.0,MIN,C,14.0,1.0,338.0,17.9,0.588,0.359,0.266,5.1,15.9,10.3,24.4,2.6,4.7,18.8,21.4,0.3,0.4,0.8,0.109,0.1,1.5,1.6,0.3,,johnsja01,2019,James Johnson,201949.0
323.0,Jordan McLaughlin,23.0,MIN,PG,30.0,2.0,590.0,16.3,0.587,0.427,0.219,1.2,7.8,4.4,31.0,2.7,0.6,13.7,15.8,1.1,0.4,1.6,0.13,0.3,0.0,0.3,0.3,,mclaujo01,2019,Jordan McLaughlin,1629162.0
325.0,Mike Muscala,28.0,OKC,C,47.0,2.0,572.0,12.5,0.569,0.757,0.116,3.2,17.3,10.4,10.1,0.8,1.8,7.9,16.6,0.7,0.6,1.3,0.107,0.1,-0.2,-0.1,0.3,,muscami01,2019,Mike Muscala,203488.0
329.0,Wayne Ellington,32.0,NYK,SG,36.0,1.0,558.0,8.5,0.509,0.822,0.075,0.7,12.0,6.2,11.0,1.1,0.7,9.1,15.0,0.2,0.2,0.4,0.035,-1.9,-1.0,-2.9,-0.1,,ellinwa01,2019,Wayne Ellington,201961.0
330.0,Dennis Smith Jr.,22.0,NYK,PG,34.0,3.0,537.0,7.4,0.399,0.256,0.251,4.1,11.7,7.7,26.4,2.5,1.4,19.8,23.1,-1.4,0.5,-0.9,-0.079,-5.2,-0.9,-6.1,-0.6,,smithde03,2019,Dennis Smith Jr.,1628372.0
