"Temporada","Jugador","Salario","Salario Actual Ajustado a la Inflación"
"2018/19 ","Dario Saric","2,526,840","3,150,415"
"2018/19 ","Taurean Prince","2,526,840","3,150,415"
"2018/19 ","Justin Anderson","2,516,047","3,136,958"
"2018/19 ","Shelvin Mack","2,512,601","3,132,661"
"2018/19 ","Manu Ginobili","2,500,000","3,116,951"
"2018/19 ","Reggie Bullock","2,500,000","3,116,951"
"2018/19 ","Bobby Portis","2,494,346","3,109,902"
"2018/19 ","Dante Cunningham","2,487,000","3,100,743"
"2018/19 ","Donte DiVincenzo","2,484,360","3,097,451"
"2018/19 ","Rondae Hollis-Jefferson","2,470,356","3,079,991"
"2018/19 ","Tyus Jones","2,444,052","3,047,196"
"2018/19 ","Jarell Martin","2,416,221","3,012,497"
"2018/19 ","Greg Monroe","2,410,167","3,004,947"
"2018/19 ","TJ Leaf","2,407,560","3,001,699"
"2018/19 ","Georgios Papagiannis","2,400,480","2,992,871"
"2018/19 ","Jeff Green","2,393,887","2,984,651"
"2018/19 ","Amir Johnson","2,393,887","2,984,651"
"2018/19 ","Raymond Felton","2,393,887","2,984,651"
"2018/19 ","Dwyane Wade","2,393,887","2,984,651"
"2018/19 ","Udonis Haslem","2,393,887","2,984,651"
"2018/19 ","JaVale McGee","2,393,887","2,984,651"
"2018/19 ","Zaza Pachulia","2,393,887","2,984,651"
"2018/19 ","Jose Calderon","2,393,887","2,984,651"
"2018/19 ","Devin Harris","2,393,887","2,984,651"
"2018/19 ","Channing Frye","2,393,887","2,984,651"
"2018/19 ","Carmelo Anthony","2,393,887","2,984,651"
"2018/19 ","Vince Carter","2,393,887","2,984,651"
"2018/19 ","Lonnie Walker","2,360,160","2,942,601"
"2018/19 ","John Collins","2,299,080","2,866,448"
"2018/19 ","Denzel Valentine","2,280,600","2,843,407"
"2018/19 ","Larry Nance Jr","2,272,390","2,833,171"
"2018/19 ","Kevin Huerter","2,250,960","2,806,453"
"2018/19 ","Monta Ellis","2,245,400","2,799,521"
"2018/19 ","Harry Giles","2,207,040","2,751,694"
"2018/19 ","Darius Miller","2,205,000","2,749,151"
"2018/19 ","Henry Ellenson","2,199,311","2,742,058"
"2018/19 ","Derrick Rose","2,176,260","2,713,318"
