Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional,Temporada,id
409.0,Henry Ellenson,22.0,NYK,PF,17,0,234,12.9,0.536,0.4,0.271,2.2,23.8,12.7,10.0,1.4,0.7,8.6,19.0,0.1,0.2,0.3,0.07,-1.4,-0.5,-1.9,0.0,0,ellenhe01,2018,1627740.0
410.0,Cameron Reynolds,23.0,MIN,SG,19,0,259,10.4,0.58,0.654,0.115,1.6,11.3,6.4,6.8,1.1,0.7,5.7,14.1,0.3,0.1,0.4,0.078,-1.3,-1.2,-2.5,0.0,0,reynoca01,2018,1629244.0
413.0,Guerschon Yabusele,23.0,BOS,PF,41,1,251,12.5,0.542,0.364,0.286,9.8,12.8,11.3,8.2,1.5,2.5,14.8,17.5,0.2,0.3,0.5,0.088,-2.5,-0.2,-2.7,0.0,0,yabusgu01,2018,1627824.0
414.0,Deonte Burton,25.0,OKC,SG,32,0,240,7.0,0.47,0.329,0.146,1.7,10.7,6.0,5.0,1.2,2.8,9.3,16.3,-0.2,0.3,0.1,0.027,-4.9,0.6,-4.3,-0.1,0,burtode02,2018,1629126.0
430.0,Isaiah Thomas,29.0,DEN,SG,12,0,181,7.0,0.437,0.434,0.273,3.0,4.8,3.9,18.6,1.4,0.5,14.0,30.4,-0.4,0.1,-0.3,-0.077,-4.0,-2.5,-6.5,-0.2,0,thomais02,2018,202738.0
441.0,Ron Baker,25.0,NYK,SG,11,0,107,4.4,0.376,0.563,0.375,1.0,6.0,3.4,16.1,2.3,0.0,13.9,8.6,0.0,0.0,0.0,0.002,-7.7,1.1,-6.6,-0.1,0,bakerro01,2018,1627758.0
448.0,C.J. Williams,28.0,MIN,SG,15,0,128,8.8,0.55,0.457,0.029,0.8,5.9,3.3,12.9,2.2,0.0,12.4,13.3,0.1,0.1,0.1,0.042,-3.8,0.2,-3.7,-0.1,0,willicj01,2018,203710.0
458.0,Jared Terrell,23.0,MIN,SG,14,0,111,0.7,0.372,0.436,0.154,1.0,4.9,2.9,14.4,1.3,1.5,19.4,19.6,-0.4,0.0,-0.3,-0.14,-8.5,-2.3,-10.9,-0.2,0,terreja01,2018,1629123.0
461.0,James Nunnally,28.0,MIN,SF,13,0,64,12.1,0.593,0.619,0.19,0.0,6.8,3.3,10.9,0.7,0.0,4.2,15.6,0.1,0.0,0.1,0.097,1.4,-1.3,0.1,0.0,0,nunnaja01,2018,203263.0
465.0,Tyler Lydon,22.0,DEN,PF,25,0,94,9.3,0.595,0.556,0.167,8.0,12.7,10.4,8.2,1.0,0.0,17.2,10.6,0.1,0.1,0.2,0.086,-2.8,-1.4,-4.2,-0.1,0,lydonty01,2018,1628399.0
470.0,Jarred Vanderbilt,19.0,DEN,PF,17,0,69,12.4,0.513,0.053,0.526,10.9,25.2,18.0,5.9,4.3,1.3,25.5,19.4,-0.1,0.1,0.1,0.037,-5.2,1.0,-4.2,0.0,0,vandeja01,2018,1629020.0
475.0,Jawun Evans,22.0,OKC,PG,1,0,1,-38.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.7,0.0,0.0,0.0,-0.946,-52.4,-29.1,-81.4,0.0,0,evansja01,2018,1628393.0
477.0,Billy Garrett,24.0,NYK,SG,4,0,63,9.8,0.452,0.296,0.148,0.0,5.1,2.5,18.0,0.8,1.3,6.5,20.9,0.0,0.0,0.0,-0.019,-3.9,-1.7,-5.5,-0.1,0,garrebi01,2018,1628656.0
479.0,Brandon Goodwin,23.0,DEN,PG,16,0,57,8.3,0.413,0.261,0.478,1.9,3.8,2.8,32.1,0.0,0.0,9.7,23.1,0.0,0.0,0.0,0.021,-4.7,-4.8,-9.5,-0.1,0,goodwbr01,2018,1629164.0
482.0,P.J. Dozier,22.0,BOS,SG,6,0,51,16.0,0.434,0.381,0.095,12.5,23.1,17.8,13.7,1.9,0.0,0.0,18.6,0.1,0.1,0.1,0.123,-1.3,-0.6,-2.0,0.0,0,dozieP.J.01,2018,1628408.0
484.0,Mitch Creek,26.0,MIN,SF,1,0,12,16.3,0.5,0.167,0.0,8.8,9.0,8.9,13.6,4.0,0.0,14.3,24.5,0.0,0.0,0.0,0.011,-1.7,-1.3,-3.0,0.0,0,creekmi01,2018,1631486.0
492.0,Nick Young,33.0,DEN,SG,4,0,37,2.3,0.5,0.889,0.0,0.0,2.9,1.5,6.8,0.0,2.4,18.2,12.7,0.0,0.0,0.0,-0.021,-4.3,-2.5,-6.9,0.0,0,youngni01,2018,201156.0
493.0,Thomas Welsh,22.0,DEN,C,11,0,36,16.1,0.648,0.538,0.154,0.0,12.1,6.0,20.5,0.0,0.0,6.7,17.7,0.1,0.0,0.1,0.162,2.2,-1.1,1.2,0.0,0,welshth01,2018,1629118.0
496.0,Isaiah Hicks,24.0,NYK,PF,3,0,32,17.4,0.588,0.0,0.625,6.4,16.7,11.4,9.4,1.5,7.9,8.9,15.0,0.1,0.0,0.1,0.153,-2.1,2.2,0.1,0.0,0,hicksis01,2018,1628439.0
499.0,R.J. Hunter,25.0,BOS,SG,1,0,26,21.6,0.612,0.769,0.154,4.1,8.2,6.2,18.0,1.9,0.0,0.0,23.1,0.1,0.0,0.1,0.223,3.2,0.4,3.6,0.0,0,hunterj01,2018,1631496.0
502.0,DeVaughn Akoon-Purcell,25.0,DEN,SG,7,0,22,8.2,0.322,0.4,0.2,4.9,14.8,9.8,37.1,4.5,0.0,15.5,25.0,-0.1,0.0,0.0,-0.051,-7.9,2.1,-5.8,0.0,0,akoonde01,2018,1629152.0
525.0,Donte Grantham,23.0,OKC,SF,3,0,2,-38.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.7,0.0,0.0,0.0,-0.946,-23.6,-14.0,-37.6,0.0,0,grantdo01,2018,1629055.0
528.0,Tyler Davis,21.0,OKC,C,1,0,1,0.0,0.0,0.0,0.0,100.0,0.0,51.6,0.0,0.0,0.0,0.0,40.7,0.0,0.0,0.0,-0.471,-9.6,-31.1,-40.7,0.0,0,davisty01,2018,1629093.0
8.0,Shai Gilgeous-Alexander,21.0,OKC,SG,70,70,2428,17.7,0.568,0.247,0.352,2.2,16.1,9.4,15.2,1.6,1.7,10.3,23.7,3.1,3.0,6.1,0.121,1.3,0.4,1.7,2.2,0,gilgesh01,2019,1628983.0
11.0,Nikola Jokić,24.0,DEN,C,73,73,2336,24.9,0.605,0.238,0.281,8.0,26.1,17.1,35.2,1.8,1.7,15.8,26.6,6.7,3.1,9.8,0.202,5.5,2.0,7.4,5.5,MVP-9ASNBA2,jokicni01,2019,203999.0
15.0,Jayson Tatum,21.0,BOS,PF,66,66,2265,20.4,0.567,0.383,0.255,3.1,18.5,10.9,14.5,2.0,2.3,10.2,28.6,3.2,3.7,6.9,0.146,3.5,0.6,4.0,3.4,MVP-12ASNBA3,tatumja01,2019,1628369.0
18.0,Chris Paul,34.0,OKC,PG,70,70,2208,21.7,0.61,0.343,0.315,1.3,15.7,8.7,34.0,2.4,0.4,13.8,23.3,5.9,3.0,8.9,0.193,3.0,1.4,4.4,3.5,MVP-7ASNBA2,paulch01,2019,101108.0
25.0,Robert Covington,29.0,MIN,PF,48,47,1411,13.5,0.572,0.629,0.19,2.6,19.5,10.7,5.9,2.6,2.6,12.0,17.8,0.5,1.8,2.3,0.078,-1.2,1.2,0.0,0.7,0,covinro01,2019,203496.0
