game_id,league_id,team_id_home,team_abbreviation_home,team_city_home,pts_paint_home,pts_2nd_chance_home,pts_fb_home,largest_lead_home,lead_changes,times_tied,team_turnovers_home,total_turnovers_home,team_rebounds_home,pts_off_to_home,team_id_away,team_abbreviation_away,team_city_away,pts_paint_away,pts_2nd_chance_away,pts_fb_away,largest_lead_away,team_turnovers_away,total_turnovers_away,team_rebounds_away,pts_off_to_away
22100979,0,1610612760,OKC,Oklahoma City,40,5,11,6,1,6,1,16,6,23,1610612749,MIL,Milwaukee,50,15,8,27,0,13,4,18
22100986,0,1610612760,OKC,Oklahoma City,44,9,19,6,9,2,1,16,10,21,1610612750,MIN,Minnesota,44,11,19,34,0,14,6,18
22100991,0,1610612743,DEN,Denver,58,10,7,18,12,3,0,20,3,23,1610612758,SAC,Sacramento,48,9,8,2,0,16,5,14
22100981,0,1610612738,BOS,Boston,56,21,14,21,9,8,0,11,4,11,1610612766,CHA,Charlotte,52,22,11,3,0,16,9,23
22100997,0,1610612738,BOS,Boston,68,11,15,18,15,16,0,9,8,7,1610612765,DET,Detroit,44,10,9,7,0,14,6,22
22100995,0,1610612753,ORL,Orlando,44,15,18,12,1,1,0,12,9,18,1610612750,MIN,Minnesota,48,7,10,18,0,9,3,7
22101009,0,1610612743,DEN,Denver,56,11,12,8,9,5,0,19,7,31,1610612761,TOR,Toronto,64,30,18,12,1,8,5,8
22101005,0,1610612748,MIA,Miami,34,9,15,17,8,6,0,18,6,25,1610612750,MIN,Minnesota,38,9,19,12,1,15,6,20
22101012,0,1610612752,NYK,New York,50,13,16,5,10,8,1,17,8,21,1610612751,BKN,Brooklyn,52,18,11,12,1,14,11,20
22101022,0,1610612743,DEN,Denver,48,4,29,6,9,9,0,14,2,16,1610612755,PHI,Philadelphia,40,4,11,19,0,13,7,14
22101023,0,1610612760,OKC,Oklahoma City,50,17,14,18,4,8,0,18,7,27,1610612766,CHA,Charlotte,48,10,12,22,0,6,5,6
22101024,0,1610612759,SAS,San Antonio,64,13,21,1,4,7,0,15,8,18,1610612750,MIN,Minnesota,62,17,20,17,1,16,7,21
22101039,0,1610612750,MIN,Minnesota,42,17,16,25,0,1,1,17,12,17,1610612747,LAL,Los Angeles,50,15,17,0,0,14,14,11
22101035,0,1610612764,WAS,Washington,64,14,19,1,3,2,1,11,7,14,1610612743,DEN,Denver,56,5,4,28,1,10,4,9
22101037,0,1610612752,NYK,New York,48,9,19,33,2,1,1,11,12,18,1610612757,POR,Portland,52,14,4,2,1,12,5,20
22101042,0,1610612738,BOS,Boston,40,10,6,24,4,3,0,10,2,7,1610612744,GSW,Golden State,30,7,10,2,0,8,10,11
22101050,0,1610612752,NYK,New York,36,20,6,15,2,3,1,13,11,13,1610612764,WAS,Washington,32,4,6,9,0,13,8,18
22101052,0,1610612748,MIA,Miami,48,14,11,29,2,6,0,6,4,5,1610612760,OKC,Oklahoma City,54,12,13,1,2,12,3,18
22101057,0,1610612738,BOS,Boston,48,12,20,29,0,1,0,13,6,10,1610612758,SAC,Sacramento,28,12,2,0,0,16,7,24
22101049,0,1610612743,DEN,Denver,66,15,14,14,7,9,1,19,6,29,1610612739,CLE,Cleveland,58,19,17,8,0,11,10,18
22101058,0,1610612749,MIL,Milwaukee,44,24,12,7,5,0,0,14,6,21,1610612750,MIN,Minnesota,46,18,25,24,0,11,5,4
22101067,0,1610612752,NYK,New York,26,18,6,9,5,3,0,11,11,14,1610612762,UTA,Utah,32,15,8,17,1,12,7,12
22101065,0,1610612753,ORL,Orlando,42,17,6,7,12,11,0,21,8,23,1610612760,OKC,Oklahoma City,34,6,10,8,0,16,9,6
22101068,0,1610612743,DEN,Denver,36,13,20,3,2,4,1,11,9,14,1610612738,BOS,Boston,44,7,7,28,1,9,4,16
22101078,0,1610612760,OKC,Oklahoma City,60,4,18,0,0,0,0,11,2,19,1610612738,BOS,Boston,56,14,6,26,1,9,10,19
22101079,0,1610612750,MIN,Minnesota,38,13,26,6,11,4,0,9,6,8,1610612742,DAL,Dallas,48,16,13,16,1,12,6,14
22101081,0,1610612752,NYK,New York,48,14,11,12,8,6,1,14,13,22,1610612737,ATL,Atlanta,40,9,3,11,0,14,5,25
22101083,0,1610612743,DEN,Denver,42,13,11,14,3,4,2,11,9,14,1610612746,LAC,LA,48,4,14,3,0,6,5,6
22101090,0,1610612750,MIN,Minnesota,46,21,11,15,1,5,0,12,7,16,1610612756,PHX,Phoenix,54,16,7,14,1,13,8,14
22101091,0,1610612760,OKC,Oklahoma City,42,4,11,19,1,2,1,12,9,10,1610612753,ORL,Orlando,36,9,4,13,1,11,8,14
22101087,0,1610612738,BOS,Boston,56,14,13,32,3,0,1,13,6,10,1610612762,UTA,Utah,48,17,6,2,0,14,5,24
22101084,0,1610612766,CHA,Charlotte,54,20,12,0,0,1,2,11,6,13,1610612752,NYK,New York,42,9,10,20,2,9,6,8
22101099,0,1610612756,PHX,Phoenix,58,8,6,10,15,13,1,9,9,9,1610612743,DEN,Denver,58,21,17,9,1,17,6,30
22101103,0,1610612748,MIA,Miami,36,14,2,17,7,4,0,15,7,19,1610612752,NYK,New York,34,28,13,8,0,11,7,13
22101104,0,1610612750,MIN,Minnesota,48,7,11,25,8,2,0,9,7,9,1610612742,DAL,Dallas,44,8,2,3,1,11,8,8
22101113,0,1610612760,OKC,Oklahoma City,46,8,20,2,4,7,1,17,6,19,1610612743,DEN,Denver,64,11,23,16,0,15,2,22
22101115,0,1610612765,DET,Detroit,54,12,8,1,2,7,0,10,5,15,1610612752,NYK,New York,40,14,6,21,2,14,12,12
22101127,0,1610612761,TOR,Toronto,66,13,24,3,15,9,0,10,9,10,1610612738,BOS,Boston,52,24,11,11,1,17,9,26
22101122,0,1610612743,DEN,Denver,54,32,16,13,10,6,0,16,6,17,1610612766,CHA,Charlotte,58,13,17,6,1,15,9,19
22101126,0,1610612752,NYK,New York,44,20,7,13,3,1,0,6,12,7,1610612741,CHI,Chicago,44,17,4,12,2,14,8,16
22101130,0,1610612760,OKC,Oklahoma City,52,23,10,7,17,6,1,21,8,16,1610612757,POR,Portland,56,28,10,10,0,11,10,13
22101143,0,1610612760,OKC,Oklahoma City,44,9,7,0,0,0,0,18,8,16,1610612737,ATL,Atlanta,50,5,18,34,1,13,5,22
22101140,0,1610612766,CHA,Charlotte,68,11,14,12,4,9,1,12,5,10,1610612752,NYK,New York,40,16,12,6,2,14,8,19
22101139,0,1610612748,MIA,Miami,34,3,9,11,16,9,3,18,10,24,1610612738,BOS,Boston,48,8,16,7,1,18,9,18
22101153,0,1610612754,IND,Indiana,46,14,9,0,0,2,0,16,5,21,1610612738,BOS,Boston,62,16,11,10,1,16,5,24
22101162,0,1610612739,CLE,Cleveland,44,10,9,23,0,7,3,12,7,12,1610612752,NYK,New York,36,4,5,0,1,11,11,13
22101166,0,1610612738,BOS,Boston,60,10,32,43,1,1,1,8,8,9,1610612764,WAS,Washington,42,7,4,4,0,12,6,23
22101174,0,1610612760,OKC,Oklahoma City,50,11,9,22,3,2,2,18,7,26,1610612756,PHX,Phoenix,52,10,5,12,0,11,8,12
22101173,0,1610612745,HOU,Houston,56,19,9,3,3,7,1,24,11,39,1610612750,MIN,Minnesota,66,7,17,27,0,19,7,24
22101168,0,1610612743,DEN,Denver,60,8,13,11,19,6,0,12,2,15,1610612747,LAL,Los Angeles,68,8,18,9,1,13,11,18
22101171,0,1610612752,NYK,New York,50,20,16,35,4,0,1,10,7,6,1610612753,ORL,Orlando,28,11,6,1,0,11,14,17
22101185,0,1610612760,OKC,Oklahoma City,56,14,9,6,5,5,1,17,9,17,1610612757,POR,Portland,40,11,10,19,0,17,8,24
22101184,0,1610612750,MIN,Minnesota,42,15,13,5,18,10,1,10,10,9,1610612764,WAS,Washington,72,16,18,23,0,10,9,11
22101186,0,1610612743,DEN,Denver,56,12,17,3,3,2,0,11,6,17,1610612759,SAS,San Antonio,54,9,13,21,1,11,9,12
22101194,0,1610612762,UTA,Utah,60,28,12,41,6,4,2,13,9,16,1610612760,OKC,Oklahoma City,36,11,5,4,0,10,6,13
