Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional,Temporada,full_name,id
319.0,Quentin Grimes,21.0,NYK,SG,46.0,6.0,786.0,10.7,0.565,0.804,0.081,3.2,9.8,6.4,8.5,2.0,1.4,10.3,15.1,0.6,0.9,1.4,0.087,-1.2,0.9,-0.3,0.3,,grimequ01,2021,Quentin Grimes,1629656.0
321.0,Romeo Langford,22.0,BOS,SG,44.0,5.0,728.0,9.3,0.52,0.451,0.185,4.6,10.7,7.7,3.6,1.4,2.0,7.4,13.0,0.2,1.0,1.3,0.084,-2.3,1.1,-1.2,0.2,,langfro01,2021,Romeo Langford,1629641.0
329.0,Danuel House Jr.,28.0,NYK,SF,1.0,0.0,3.0,-13.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,0.0,0.0,0.0,-0.342,-12.6,-7.8,-20.4,0.0,,houseda01,2021,Danuel House Jr.,1627863.0
330.0,DeMarcus Cousins,31.0,DEN,C,31.0,2.0,431.0,17.6,0.565,0.359,0.422,13.4,30.6,22.3,19.1,2.2,2.7,22.0,31.9,-0.2,0.8,0.6,0.065,-2.8,-0.2,-3.1,-0.1,,couside01,2021,DeMarcus Cousins,202326.0
336.0,Zeke Nnaji,21.0,DEN,PF,41.0,1.0,698.0,13.5,0.629,0.43,0.349,9.3,14.1,11.8,3.4,1.1,1.7,9.7,14.9,1.2,0.6,1.8,0.123,-0.7,-1.6,-2.2,0.0,,nnajize01,2021,Zeke Nnaji,1630192.0
340.0,Vit Krejci,21.0,OKC,SG,30.0,8.0,690.0,8.5,0.529,0.587,0.132,2.6,12.6,7.5,11.9,1.3,1.1,14.1,12.9,0.1,0.5,0.6,0.042,-4.3,-1.0,-5.3,-0.6,,krejcvi01,2021,Vit Krejci,1630249.0
343.0,Davon Reed,26.0,DEN,SG,48.0,5.0,668.0,12.2,0.624,0.534,0.093,2.4,15.2,9.0,10.7,1.8,1.2,8.7,12.1,0.9,0.7,1.6,0.117,-0.6,0.3,-0.3,0.3,,reedda01,2021,Davon Reed,1628432.0
344.0,Derrick Favors,30.0,OKC,C,39.0,18.0,653.0,13.6,0.534,0.088,0.137,9.0,20.2,14.5,5.9,1.3,1.7,4.5,13.4,0.8,0.7,1.4,0.105,-2.3,0.3,-2.1,0.0,,favorde01,2021,Derrick Favors,202324.0
349.0,Derrick Rose,33.0,NYK,PG,26.0,4.0,636.0,16.9,0.541,0.336,0.113,3.5,9.8,6.6,27.5,1.7,1.9,11.9,22.5,0.8,0.7,1.4,0.108,2.3,0.0,2.3,0.7,,rosede01,2021,Derrick Rose,201565.0
359.0,Mike Muscala,30.0,OKC,C,43.0,0.0,592.0,19.7,0.63,0.657,0.23,3.6,19.1,11.2,6.2,1.5,4.1,4.9,20.9,1.4,0.7,2.1,0.17,3.8,1.2,5.0,1.1,,muscami01,2021,Mike Muscala,203488.0
361.0,Aaron Nesmith,22.0,BOS,SF,52.0,3.0,574.0,7.3,0.507,0.632,0.143,2.9,13.6,8.4,5.4,1.7,0.8,13.8,17.2,-0.4,0.9,0.4,0.038,-4.9,0.7,-4.3,-0.3,,nesmiaa01,2021,Aaron Nesmith,1630174.0
363.0,Nerlens Noel,27.0,NYK,C,25.0,11.0,562.0,11.8,0.581,0.05,0.5,9.0,18.1,13.5,5.7,2.7,5.4,21.5,7.3,0.4,1.0,1.5,0.128,-3.1,3.3,0.3,0.3,,noelne01,2021,Nerlens Noel,203457.0
