Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional,Temporada,full_name,id
241.0,Mario Hezonja,23.0,NYK,SF,58.0,24.0,1206.0,10.8,0.497,0.328,0.246,2.4,18.7,10.4,11.5,2.3,0.6,14.6,21.3,-1.1,1.1,-0.1,-0.003,-3.5,-0.3,-3.8,-0.5,,hezonma01,2018,Mario Hezonja,1626209.0
242.0,Robert Covington,28.0,2TM,SF,35.0,35.0,1203.0,13.3,0.58,0.622,0.246,2.5,14.6,8.5,5.2,2.9,3.2,10.5,15.6,0.9,1.6,2.5,0.1,-0.5,2.1,1.6,1.1,,covinro01,2018,Robert Covington,203496.0
242.0,Robert Covington,28.0,PHI,SF,13.0,13.0,440.0,11.0,0.578,0.658,0.197,1.7,14.0,8.1,4.3,2.6,4.1,14.8,14.2,0.0,0.7,0.7,0.077,-1.7,2.2,0.5,0.3,,covinro01,2018,Robert Covington,203496.0
242.0,Robert Covington,28.0,MIN,SF,22.0,22.0,763.0,14.7,0.58,0.604,0.269,2.9,14.9,8.8,5.8,3.1,2.7,8.4,16.5,0.9,0.9,1.8,0.114,0.1,2.1,2.2,0.8,,covinro01,2018,Robert Covington,203496.0
244.0,Will Barton,28.0,DEN,SF,43.0,38.0,1189.0,11.0,0.501,0.426,0.161,2.9,15.3,9.1,14.6,0.7,1.6,11.7,20.0,0.1,1.1,1.2,0.049,-1.1,-0.8,-1.8,0.0,,bartowi01,2018,Will Barton,203115.0
255.0,Trey Burke,26.0,2TM,PG,58.0,8.0,1125.0,16.5,0.524,0.29,0.226,2.6,6.7,4.6,24.1,1.4,0.5,7.5,24.8,1.4,0.5,1.9,0.081,1.5,-1.4,0.1,0.6,,burketr01,2018,Trey Burke,203504.0
255.0,Trey Burke,26.0,NYK,PG,33.0,7.0,689.0,15.6,0.496,0.24,0.209,2.2,7.3,4.7,23.6,1.5,0.6,6.9,26.1,0.4,0.2,0.6,0.044,0.9,-1.5,-0.6,0.2,,burketr01,2018,Trey Burke,203504.0
255.0,Trey Burke,26.0,DAL,PG,25.0,1.0,436.0,17.9,0.574,0.384,0.258,3.2,5.9,4.5,24.7,1.3,0.4,8.6,22.8,1.0,0.3,1.3,0.14,2.3,-1.2,1.2,0.3,,burketr01,2018,Trey Burke,203504.0
257.0,Trey Lyles,23.0,DEN,PF,64.0,2.0,1120.0,12.7,0.5,0.404,0.234,4.2,19.6,11.9,11.3,1.3,1.8,11.1,23.4,-0.2,1.4,1.2,0.05,-1.8,-0.7,-2.4,-0.1,,lylestr01,2018,Trey Lyles,1626168.0
263.0,Anthony Tolliver,33.0,MIN,PF,65.0,0.0,1079.0,8.6,0.571,0.83,0.232,1.5,16.2,8.8,5.5,0.8,1.7,11.2,12.5,0.6,0.5,1.2,0.052,-1.7,-0.7,-2.4,-0.1,,tollian01,2018,Anthony Tolliver,201229.0
270.0,Nerlens Noel,24.0,OKC,C,77.0,2.0,1055.0,19.3,0.608,0.0,0.286,12.1,20.0,15.9,5.9,2.9,7.7,13.4,13.8,1.9,2.5,4.3,0.198,-1.2,3.3,2.1,1.1,,noelne01,2018,Nerlens Noel,203457.0
273.0,Gorgui Dieng,29.0,MIN,C,76.0,2.0,1031.0,18.1,0.572,0.149,0.281,8.3,24.1,16.1,10.3,2.2,3.4,11.9,19.6,1.5,1.3,2.8,0.132,-0.3,0.9,0.6,0.7,,dienggo01,2018,Gorgui Dieng,203476.0
289.0,Daniel Theis,26.0,BOS,C,66.0,2.0,908.0,17.1,0.624,0.252,0.286,10.2,16.2,13.2,10.5,1.1,4.1,9.9,15.8,2.3,1.2,3.5,0.185,-0.8,0.9,0.0,0.5,,theisda01,2018,Daniel Theis,1628464.0
290.0,Frank Ntilikina,20.0,NYK,PG,43.0,16.0,904.0,6.0,0.417,0.408,0.106,1.4,8.9,5.0,19.5,1.6,1.3,15.9,16.6,-1.3,0.4,-0.8,-0.045,-5.2,-0.8,-6.0,-0.9,,ntilila01,2018,Frank Ntilikina,1628373.0
298.0,Patrick Patterson,29.0,OKC,PF,63.0,5.0,861.0,8.1,0.493,0.626,0.137,4.9,13.0,8.8,4.6,0.9,1.3,8.7,12.0,0.2,0.9,1.1,0.064,-2.0,-0.4,-2.5,-0.1,,pattepa01,2018,Patrick Patterson,202335.0
302.0,Aron Baynes,32.0,BOS,C,51.0,18.0,821.0,14.1,0.567,0.274,0.278,11.4,19.8,15.6,9.3,0.7,3.7,13.8,15.3,1.3,1.1,2.3,0.136,-1.8,0.3,-1.5,0.1,,baynear01,2018,Aron Baynes,203382.0
